m,r,rho,T,P,l,epsilon,kappa,grad_ad,grad_rad,grad_act,nature
3.9558391104188754e+33,74939757666.98738,0.037927048062883176,2127991.281686154,10838485092411.672,5.776294058371928e+34,1.1352030094062015e-07,7.600267679132299,0.4,0.23126408194413292,0.23126408194413292,RAD
3.9564721797272225e+33,75179118668.11055,0.03679429006701427,2108657.3394777644,10419388711066.611,5.776294058378754e+34,1.0226373762264175e-07,7.635909436906805,0.4,0.23163253325847186,0.23163253325847186,RAD
3.9571052490355695e+33,75424363716.81725,0.03566604734248172,2088939.7818828006,10005593671020.791,5.776294058384893e+34,9.182456491896613e-08,7.672955577785119,0.4,0.23203471920054736,0.23203471920054736,RAD
3.9577383183439165e+33,75675814918.76636,0.034542358762324206,2068816.5280841617,9597146700627.902,5.776294058390396e+34,8.216604544652209e-08,7.711544354913488,0.4,0.23247551642159406,0.23247551642159406,RAD
3.9583713876522636e+33,75933822341.25233,0.03342326659250566,2048263.2809713625,9194096945164.96,5.7762940583953125e+34,7.325203061757325e-08,7.75183611428198,0.4,0.23296072851497193,0.23296072851497193,RAD
3.959001589388454e+33,76197551020.17336,0.03231385467408365,2027349.4369324578,8798284782197.256,5.776294058399668e+34,6.508258864534413e-08,7.79382246775544,0.4,0.23349474783372057,0.23349474783372057,RAD
3.9596317911246446e+33,76468565452.63438,0.03120909408997427,2005953.5040739176,8407926178941.041,5.77629405840353e+34,5.758121509730032e-08,7.837899201726217,0.4,0.23408793124923694,0.23408793124923694,RAD
3.959908356801488e+33,76589915052.90776,0.030725749802410707,1996403.3658877127,8238352574670.046,5.776294058405079e+34,5.4491425664256096e-08,7.857966771374169,0.4,0.23436943055510964,0.23436943055510964,RAD
3.9599360133691725e+33,76602133469.91902,0.03067746543341078,1995442.7873528493,8221453772633.503,5.776294058405229e+34,5.4189055026806446e-08,7.859999292888067,0.4,0.2343983485863081,0.2343983485863081,RAD
3.959963669936857e+33,76614367225.58202,0.030629189535487284,1994481.2264997384,8204565637737.462,5.776294058405379e+34,5.388788277209647e-08,7.8612068576455405,0.4,0.23440264975295852,0.23440264975295852,RAD
3.960017736771437e+33,76638327906.28499,0.030534834002041794,1992598.824618005,8171581235699.52,5.7762940584056685e+34,5.330260639102437e-08,7.863197177678962,0.4,0.23439987170791954,0.23439987170791954,RAD
3.960044770188727e+33,76650330389.83414,0.030487666506541295,1991656.326104812,8155104341655.973,5.776294058405812e+34,5.301169784599418e-08,7.864194294651522,0.4,0.23439846966383313,0.23439846966383313,RAD
3.960179937275179e+33,76710565852.03494,0.030251931709531693,1986930.7708858694,8072873132860.335,5.776294058406519e+34,5.157433940921111e-08,7.869199579242101,0.4,0.23439132672759738,0.23439132672759738,RAD
3.9603151043616304e+33,76771176801.55954,0.030016367970669856,1982183.2427641873,7990897802730.866,5.776294058407206e+34,5.01653651845236e-08,7.874237998101946,0.4,0.23438395671242504,0.23438395671242504,RAD
3.9604436323709325e+33,76829163705.09254,0.02979253310919259,1977648.2660270843,7913186792500.538,5.776294058407842e+34,4.88516058918253e-08,7.879060054811055,0.4,0.2343767305049469,0.2343767305049469,RAD
3.9610862724174444e+33,77124424357.83136,0.028675673597013653,1954662.8268385557,7528129255732.308,5.776294058410779e+34,4.2652671988893856e-08,7.903638281429402,0.4,0.2343371361472597,0.2343371361472597,RAD
3.961613817244059e+33,77373749903.15753,0.02776171638050773,1935390.5538823057,7216426350200.409,5.776294058412905e+34,3.8006242411649854e-08,7.924421690673356,0.4,0.23429977259607598,0.23429977259607598,RAD
3.962141362070673e+33,77629733055.25214,0.026850340648132756,1915733.4497106404,6908726615453.303,5.776294058414796e+34,3.373723851934572e-08,7.945782482261445,0.4,0.23425727944793068,0.23425727944793068,RAD
